id,nom,prénom,circ,parti,indép,date,appelation
d001,Anglade,Dominique,Saint-Henri–Sainte-Anne,Parti libéral du Québec,non,,Mme Anglade :
d002,Arcand,Pierre,Mont-Royal,Parti libéral du Québec,non,,M. Arcand :
d002,Arcand,Pierre,Mont-Royal,Parti libéral du Québec,non,,M.Arcand :
d002,Arcand,Pierre,Mont-Royal,Parti libéral du Québec,non,,"M. Arcand : ,"
d002,Arcand,Pierre,Mont-Royal,Parti libéral du Québec,non,,M. Arcand :>
d003,Auger,Pierre Michel,Champlain,Parti libéral du Québec,non,,M. Auger :
d004,Barrette,Gaétan,La Pinière,Parti libéral du Québec,non,,M. Barrette :
d004,Barrette,Gaétan,La Pinière,Parti libéral du Québec,non,,M. Barrette
d004,Barrette,Gaétan,La Pinière,Parti libéral du Québec,non,,M. Barrette : Une voix :
d005,Bédard,Stéphane,Chicoutimi,Parti québécois,non,,M. Bédard :
d005,Bédard,Stéphane,Chicoutimi,Parti québécois,non,,M. Bédard
d006,Bergeron,Stéphane,Verchères,Parti québécois,non,,M. Bergeron :
d007,Bernier,Raymond,Montmorency,Parti libéral du Québec,non,,M. Bernier :
d008,Bérubé,Pascal,Matane-Matapédia,Parti québécois,non,,M. Bérubé :
d009,Billette,Stéphane,Huntingdon,Parti libéral du Québec,non,,M. Billette :
d010,Birnbaum,David,D'Arcy-McGee,Parti libéral du Québec,non,,M. Birnbaum :
d011,Blais,François,Charlesbourg,Parti libéral du Québec,non,,M. Blais :
d012,Blais,Marguerite,Saint-Henri–Sainte-Anne,Parti libéral du Québec,non,,Mme Blais :
d013,Blanchette,Luc,Rouyn-Noranda–Témiscamingue,Parti libéral du Québec,non,,M. Blanchette :
d013,Blanchette,Luc,Rouyn-Noranda–Témiscamingue,Parti libéral du Québec,non,,M. Blanchette
d014,Bolduc,Ghislain,Mégantic,Parti libéral du Québec,non,,M. Bolduc :
d014,Bolduc,Ghislain,Mégantic,Parti libéral du Québec,non,,M. Bolduc (Mégantic) :
d014,Bolduc,Ghislain,Mégantic,Parti libéral du Québec,non,,M. Bolduc  :
d015,Bolduc,Yves,Jean-Talon,Parti libéral du Québec,non,,M. Bolduc (Jean-Talon) :
d016,Bonnardel,François,Granby,Coalition avenir Québec,non,,M. Bonnardel :
d016,Bonnardel,François,Granby,Coalition avenir Québec,non,,M. Bonnardel
d017,Boucher,Jean,Ungava,Parti libéral du Québec,non,,M. Boucher :
d018,Boulet,Julie,Laviolette,Parti libéral du Québec,non,,Mme Boulet :
